Class,Precision,Recall,F1-Score,Support
0,0.908433734939759,0.940149625935162,0.9240196078431373,401
1,0.782608695652174,0.84375,0.8120300751879699,64
2,0.5925925925925926,0.6066350710900474,0.5995316159250585,211
3,0.9584415584415584,0.9437340153452686,0.9510309278350515,391
4,0.8870431893687708,0.9238754325259516,0.9050847457627119,289
5,0.9267734553775744,0.9246575342465754,0.9257142857142857,438
6,0.9413489736070382,0.9042253521126761,0.9224137931034483,355
7,0.926530612244898,0.9399585921325052,0.9331963001027749,483
8,0.8030018761726079,0.7867647058823529,0.7948003714020427,544
9,0.8227146814404432,0.7983870967741935,0.810368349249659,372
